area,station_name,lat,lng,bike_racks
Plac Dominikański (Galeria Dominikańska),Plac Dominikański (Galeria Dominikańska),51.108004,17.039528,16
"Dworzec Główny, południe","Dworzec Główny, południe",51.097108,17.03611,12
Rynek,Rynek,51.109782,17.030175,16
Dworzec Główny ,Dworzec Główny ,51.09975,17.036228,16
Nowowiejska / Jedności Narodowej,Nowowiejska / Jedności Narodowej,51.124879,17.045844,10
Legnicka / Wejherowska,Legnicka / Wejherowska,51.125276,16.984447,10
Rondo Reagana,Rondo Reagana,51.112154,17.060451,16
Pereca / Grabiszyńska,Pereca / Grabiszyńska,51.100862,17.008224,10
Powstańcow Śląskich / Aleja Hallera,Powstańcow Śląskich / Aleja Hallera,51.086689,17.01248,14
Grabiszyńska / Aleja Hallera,Grabiszyńska / Aleja Hallera,51.094413,16.980911,16
Szczęśliwa (Sky Tower),Szczęśliwa (Sky Tower),51.094521,17.020876,16
Śrubowa / Strzegomska,Śrubowa / Strzegomska,51.112911,17.00136,10
Na Grobli (PWr,Na Grobli (PWr - Geocentrum),51.105207,17.053675,16
Lotnicza / Na Ostatnim Groszu,Lotnicza / Na Ostatnim Groszu,51.126907,16.978759,16
Dyrekcyjna / Borowska (Wroclavia),Dyrekcyjna / Borowska (Wroclavia),51.095322,17.033388,14
Borowska / Kamienna (Aquapark),Borowska / Kamienna (Aquapark),51.088908,17.034051,16
Wyszyńskiego / Szczytnicka,Wyszyńskiego / Szczytnicka,51.113562,17.050674,16
Chałubińskiego / Mikulicza-Radeckiego,Chałubińskiego / Mikulicza-Radeckiego,51.111356,17.067636,4
Borowska (Uniw. Szpital Kliniczny),Borowska (Uniw. Szpital Kliniczny),51.074868,17.032457,12
Legnicka (Park Magnolia),Legnicka (Park Magnolia),51.121059,16.993088,16
Jagiełły / Dmowskiego ,Jagiełły / Dmowskiego ,51.116596,17.023879,4
Plac Powstańców Śląskich,Plac Powstańców Śląskich,51.091457,17.017405,10
Wróblewskiego (ZOO),Wróblewskiego (ZOO),51.10592,17.075857,10
Ślężna / Aleja Wiśniowa,Ślężna / Aleja Wiśniowa,51.084239,17.02439,10
Tyrmanda / Mińska,Tyrmanda / Mińska,51.103216,16.9461,10
Janiszewskiego (PWr),Janiszewskiego (PWr),51.109332,17.060511,16
Norwida / Wyspiańskiego (PWr),Norwida / Wyspiańskiego (PWr),51.107235,17.060715,16
